station_number,station_name,county,latitude,longitude
8720,M.MULLAGHCLEEVAUN,Wicklow,53.102,-6.367
9520,M.RATHDRUM (BALLINTOMBAY FOR.),Wicklow,52.951,-6.291
19723,M.SALLY GAP,Wicklow,53.137,-6.317
820,MONEYSTOWN,Wicklow,53.007,-6.223
2724,NEWTOWNMOUNTKENNEDY FOREST LAB.,Wicklow,53.092,-6.108
2420,OLDBRIDGE (OAKVIEW),Wicklow,53.052,-6.272
1024,ROUNDWOOD (FILTER BEDS),Wicklow,53.042,-6.186
2520,TINAHELY-Mucklagh,Wicklow,52.808,-6.388
62091,M2_Buoy,Buoys,53.480,-5.430
62092,M3_Buoy,Buoys,51.220,-10.550
62093,M4_Buoy,Buoys,55.100,-10.000
62094,M5_Buoy,Buoys,51.690,-6.700
62095,M6_Buoy[-15.87W],Buoys,52.990,-14.0
